relative_path,size_bytes,extension,classification,likely_role
Stata/do/kruskal_wallis_tests.do,120,do,archive only,legacy exploratory Stata code
Stata/do/ksmirnov.do,470,do,archive only,legacy exploratory Stata code
Stata/do/master_do_file.do,25802,do,include,analysis code
Stata/do/merged_kf_ziegel.dta,104398,dta,archive only,data or experiment output
Stata/do/mlogits.do,654,do,archive only,legacy exploratory Stata code
Stata/do/mlogits_other.do,307,do,archive only,legacy exploratory Stata code
Stata/do/principal_and_third_party_control_behavior.do,681,do,archive only,legacy exploratory Stata code
Stata/do/regressions_wald_tests.do,2605,do,archive only,legacy exploratory Stata code
Stata/do/regressions_walds_Ftests_notused.do,590,do,archive only,legacy exploratory Stata code
Stata/do/signrank_tests.do,367,do,archive only,legacy exploratory Stata code
Stata/do/variable_generation.do,2088,do,archive only,legacy exploratory Stata code
Stata/falk_kosfeld_data.csv,7178,csv,archive only,data or experiment output
Stata/falk_kosfeld_data.dta,8838,dta,archive only,data or experiment output
Stata/falk_kosfeld_data.xls,55296,xls,archive only,data or experiment output
Stata/figures/cumul_exp1.pdf,15128,pdf,archive only,other archive material
Stata/figures/cumul_exp2.pdf,15406,pdf,archive only,other archive material
Stata/figures/cumul_transdif.pdf,15240,pdf,archive only,other archive material
Stata/figures/gcos_index.pdf,16698,pdf,archive only,other archive material
Stata/figures/kdensity.jpg,94392,jpg,archive only,other archive material
Stata/figures/kdensity.pdf,28730,pdf,archive only,other archive material
Stata/figures/kdensity_ubx_transform.jpg,98583,jpg,archive only,other archive material
Stata/figures/mean_allocations.pdf,15024,pdf,archive only,other archive material
Stata/gcos.rtf,1994,rtf,archive only,other archive material
Stata/gcos2.rtf,1698,rtf,archive only,other archive material
Stata/gcos2_agents.rtf,1694,rtf,archive only,other archive material
Stata/gcos_agents.rtf,1976,rtf,archive only,other archive material
Stata/kdensity_gcos.pdf,26459,pdf,archive only,other archive material
Stata/kolmogorov_smirnov_stacked.dta,16580,dta,archive only,data or experiment output
Stata/kolmogorov_smirnov_stacked_dropped_A.dta,8228,dta,archive only,data or experiment output
Stata/ks_data.csv,20486,csv,archive only,data or experiment output
Stata/ks_data.xlsx,70636,xlsx,archive only,data or experiment output
Stata/log/2015.04.17.do,0,do,archive only,analysis code
Stata/log/2015.04.17.log,9159,log,archive only,other archive material
