Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,95,105,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,15,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,10,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,15,8,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,40,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,20,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,20,30,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,11,0,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,40,40,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Agent,10,10,NA,NA,,,,
